Title,Event URL,Image URL,Categories,Mode,Date,Time,Location,Register Link
Advance Your Career with a Premier Executive MBA from Great Lakes ,https://events.herkey.com/events/advance-your-career-with-a-premier-executive-mba-from-great-lakes/1669,https://assets.jobsforher.com/uploads/v3/events/cc4295e4b75d3b602be32f8ac975c822df83b4e7c59745e9e7.png,"Career Development, event",Online,"16th Apr, 2025 to 30th Apr, 2025",10:00am to 6:00pm,Any,N/A
Back to Work - RestartHer with MS office ,https://events.herkey.com/events/back-to-work-restarther-with-ms-office/1476,https://assets.jobsforher.com/uploads/v3/events/e4c09ea6c626a65e2f7fcf3e59716e7870906112f5a1825904.png,event,Online,"16th Apr, 2025 to 14th May, 2025",12:00pm to 11:00pm,Any,N/A
SkillReBoot program: Restart Your Career Journey ,https://events.herkey.com/events/skillreboot-program-restart-your-career-journey/1663,https://assets.jobsforher.com/uploads/v3/events/3b419213b22661362ff71f0a8ffd75786bd38ff3e4624a51fb.png,Career Development,Online,"21st Apr, 2025 to 20th May, 2025",6:00pm to 11:00pm,Any,N/A
herShakti ,https://events.herkey.com/events/hershakti/1556,https://assets.jobsforher.com/uploads/v3/events/1e472bda3a82ef6cde751524087129a7ef8190856fa7f63eef.png,JobsForHer foundation,Online,"8th Mar, 2025 to 10th Apr, 2025",12:00am to 11:00pm,Any,N/A
Do-It-Herself 5.0 | Returnship program at Lowe's India for women on a career break ,https://events.herkey.com/events/do-it-herself-5-0-returnship-program-at-lowe-s-india-for-women-on-a-career-break/1662,https://assets.jobsforher.com/uploads/v3/events/274aa687ad86d3a7e8636b88b28d48723cfd08c5e5ace0f555.png,Diversity Drive,Online,"27th Mar, 2025",10:00am to 11:30am,Bangalore,N/A
"#STEMTheBias Scholarship - Avail Scholarships up to Rs. 80,000 ",https://events.herkey.com/events/stemthebias-scholarship-avail-scholarships-up-to-rs-80-000/1666,https://assets.jobsforher.com/uploads/v3/events/503869248f6adf7c2ea637d64b779f8e259adf06d14a813229.png,Career Development,Online,"3rd Mar, 2025 to 25th Mar, 2025",10:00am to 11:59pm,Any,N/A
"LeadHERs in Tech: Tech Meets Talent , Innovation Meets Inspiration ",https://events.herkey.com/events/leadhers-in-tech-tech-meets-talent-innovation-meets-inspiration/1660,https://assets.jobsforher.com/uploads/v3/events/9f1906d384d08915aea7e91f0eb7523afd7db162fed6d84b5b.png,"Career Development, Women In Tech, networking",Offline,"21st Mar, 2025",8:30am to 4:00pm,Bangalore,N/A
Open Ceiling: Women Lead India,https://events.herkey.com/events/open-ceiling-women-lead-india/1667,https://assets.jobsforher.com/uploads/v3/events/548d3cc9b8c4507e823930a1c62fb78d9e0f7ed74835a93fe7.png,"event, networking event",Offline,"21st Mar, 2025",9:00am to 2:30pm,Mumbai,N/A
Women Influencers Network (WIN),https://events.herkey.com/events/women-influencers-network-win/1625,https://assets.jobsforher.com/uploads/v3/events/1334af726e3411ba6049565ddaf80bb28a1f3623699001c290.png,Career Development,Online,"15th Jan, 2025 to 28th Feb, 2025",12:00am to 11:00pm,Any,N/A
Women in Sales,https://events.herkey.com/events/women-in-sales/1623,https://assets.jobsforher.com/uploads/v3/events/c3ebd0829abb4d178ae0d314d348f338c99d7a3c195c177ee2.png,Career Development,Online,"15th Jan, 2025 to 28th Feb, 2025",12:00am to 11:00pm,Any,N/A
